Source,Target,Type,Id,Label,timeset,Weight
0,12,Undirected,0,,,32.8
12,1,Undirected,1,,,17
12,13,Undirected,2,,,15.3
0,13,Undirected,3,,,38
2,13,Undirected,4,,,18.8
2,14,Undirected,5,,,24
12,14,Undirected,6,,,39
3,14,Undirected,7,,,25
3,15,Undirected,8,,,12
16,15,Undirected,9,,,45
16,11,Undirected,10,,,11
26,11,Undirected,11,,,24
26,25,Undirected,12,,,65
24,25,Undirected,13,,,36
24,5,Undirected,14,,,22
24,23,Undirected,15,,,30
5,23,Undirected,17,,,13
4,23,Undirected,18,,,14
22,23,Undirected,19,,,31
22,4,Undirected,20,,,17
5,22,Undirected,21,,,25
14,22,Undirected,22,,,71
14,15,Undirected,23,,,30
23,21,Undirected,24,,,70
10,21,Undirected,25,,,54
10,9,Undirected,26,,,63
7,9,Undirected,27,,,80
6,9,Undirected,28,,,7
6,7,Undirected,29,,,80
8,10,Undirected,30,,,75
18,21,Undirected,31,,,60
18,19,Undirected,33,,,23
17,19,Undirected,34,,,22
19,20,Undirected,35,,,40
27,30,Undirected,9.3,,,41
27,32,Undirected,14.8,,,42
27,33,Undirected,13.5,,,43
27,34,Undirected,10.0,,,44
27,35,Undirected,12.1,,,45
27,36,Undirected,2.9,,,46
27,37,Undirected,9.1,,,47
27,41,Undirected,19.3,,,49
27,42,Undirected,10.0,,,50
27,6,Undirected,14.8,,,51
27,44,Undirected,18.7,,,52
29,39,Undirected,2.5,,,53
29,40,Undirected,7.7,,,54
29,41,Undirected,18.7,,,55
30,31,Undirected,16.8,,,56
30,32,Undirected,7.0,,,57
30,33,Undirected,8.0,,,58
30,34,Undirected,5.2,,,59
30,35,Undirected,4.1,,,60
30,36,Undirected,7.3,,,61
30,37,Undirected,7.9,,,62
30,42,Undirected,2.9,,,63
30,6,Undirected,16.1,,,64
31,32,Undirected,9.8,,,65
31,33,Undirected,10.7,,,66
31,34,Undirected,14.0,,,67
31,35,Undirected,12.8,,,68
31,42,Undirected,19.0,,,69
32,33,Undirected,3.7,,,70
32,34,Undirected,5.2,,,71
32,35,Undirected,2.9,,,72
32,36,Undirected,12.1,,,73
32,37,Undirected,14.7,,,74
32,42,Undirected,9.3,,,75
33,34,Undirected,3.5,,,76
33,35,Undirected,4.4,,,77
33,36,Undirected,10.6,,,78
33,37,Undirected,15.7,,,79
33,42,Undirected,10.8,,,80
34,35,Undirected,3.4,,,81
34,36,Undirected,7.2,,,82
34,37,Undirected,12.5,,,83
34,42,Undirected,8.2,,,84
35,36,Undirected,9.5,,,85
35,37,Undirected,12.0,,,86
35,42,Undirected,6.7,,,87
36,37,Undirected,9.6,,,88
36,42,Undirected,8.7,,,90
36,6,Undirected,16.5,,,91
37,41,Undirected,17.0,,,93
37,42,Undirected,5.5,,,94
37,6,Undirected,8.3,,,95
37,44,Undirected,15.2,,,96
39,40,Undirected,8.1,,,100
39,41,Undirected,18.8,,,101
41,6,Undirected,10.2,,,102
41,44,Undirected,2.7,,,103
42,6,Undirected,13.7,,,104
6,44,Undirected,7.9,,,105
45,46,Undirected,14.5,,,106
45,47,Undirected,7.4,,,107
45,51,Undirected,19.4,,,108
45,54,Undirected,12.9,,,109
46,51,Undirected,5.1,,,110
46,52,Undirected,7.8,,,111
46,53,Undirected,14.7,,,112
46,54,Undirected,1.6,,,113
48,49,Undirected,13.3,,,114
48,50,Undirected,7.9,,,115
49,50,Undirected,6.1,,,116
49,55,Undirected,10.3,,,117
50,55,Undirected,15.7,,,118
51,52,Undirected,3.1,,,119
51,53,Undirected,9.6,,,120
51,54,Undirected,6.7,,,121
52,53,Undirected,7.1,,,122
52,54,Undirected,9.3,,,123
52,55,Undirected,18.9,,,124
53,54,Undirected,16.2,,,125
53,55,Undirected,11.9,,,126
56,57,Undirected,12.9,,,127
56,58,Undirected,10.3,,,128
56,59,Undirected,6.5,,,129
56,60,Undirected,4.3,,,130
56,61,Undirected,15.7,,,131
56,62,Undirected,10.0,,,132
56,63,Undirected,12.3,,,133
56,64,Undirected,3.2,,,134
56,65,Undirected,7.1,,,135
56,66,Undirected,16.1,,,136
56,67,Undirected,1.1,,,137
56,68,Undirected,5.4,,,138
57,58,Undirected,2.9,,,139
57,59,Undirected,6.6,,,140
57,60,Undirected,8.8,,,141
57,64,Undirected,9.7,,,142
57,65,Undirected,6.0,,,143
57,66,Undirected,3.2,,,144
57,67,Undirected,13.3,,,145
57,68,Undirected,18.3,,,146
58,59,Undirected,3.8,,,147
58,60,Undirected,6.0,,,148
58,64,Undirected,7.1,,,149
58,65,Undirected,3.2,,,150
58,66,Undirected,6.0,,,151
58,67,Undirected,10.5,,,152
58,68,Undirected,15.5,,,153
59,60,Undirected,2.2,,,154
59,62,Undirected,16.4,,,155
59,63,Undirected,18.6,,,156
59,64,Undirected,3.4,,,157
59,65,Undirected,0.6,,,158
59,66,Undirected,9.8,,,159
59,67,Undirected,6.7,,,160
59,68,Undirected,11.7,,,161
60,61,Undirected,19.9,,,162
60,62,Undirected,14.2,,,163
60,63,Undirected,16.5,,,164
60,64,Undirected,1.5,,,165
60,65,Undirected,2.8,,,166
60,66,Undirected,12.0,,,167
60,67,Undirected,4.5,,,168
60,68,Undirected,9.5,,,169
61,62,Undirected,5.7,,,170
61,63,Undirected,3.6,,,171
61,64,Undirected,18.9,,,172
61,67,Undirected,15.4,,,173
61,68,Undirected,10.4,,,174
62,63,Undirected,2.6,,,175
62,64,Undirected,13.2,,,176
62,65,Undirected,17.0,,,177
