Source,Target,Type,Id,Label,timeset,Weight
0,12,Undirected,0,,,32.8
12,1,Undirected,1,,,17
12,13,Undirected,2,,,15.3
0,13,Undirected,3,,,38
2,13,Undirected,4,,,18.8
2,14,Undirected,5,,,24
12,14,Undirected,6,,,39
3,14,Undirected,7,,,25
3,15,Undirected,8,,,12
16,15,Undirected,9,,,45
16,11,Undirected,10,,,11
26,11,Undirected,11,,,24
26,25,Undirected,12,,,65
24,25,Undirected,13,,,36
24,5,Undirected,14,,,22
24,23,Undirected,15,,,30
5,23,Undirected,17,,,13
4,23,Undirected,18,,,14
22,23,Undirected,19,,,31
22,4,Undirected,20,,,17
5,22,Undirected,21,,,25
14,22,Undirected,22,,,71
14,15,Undirected,23,,,30
23,21,Undirected,24,,,70
10,21,Undirected,25,,,54
10,9,Undirected,26,,,63
7,9,Undirected,27,,,80
6,9,Undirected,28,,,7
6,7,Undirected,29,,,80
8,10,Undirected,30,,,75
18,21,Undirected,31,,,60
18,19,Undirected,33,,,23
17,19,Undirected,34,,,22
19,20,Undirected,35,,,40
